"Country","Code","Year","Death_earthquake","Death_total"
"Algeria","DZA",1990,0,121898.547788971
"Algeria","DZA",1991,0,121753.477068692
"Algeria","DZA",1992,0,122603.699813147
"Algeria","DZA",1993,0,123921.115339465
"Algeria","DZA",1994,171,127179.544891145
"Algeria","DZA",1995,0,129312.494951061
"Algeria","DZA",1996,0,128870.415537432
"Algeria","DZA",1997,0,134313.373676806
"Algeria","DZA",1998,0,134707.309679728
"Algeria","DZA",1999,24,134681.743619945
"Algeria","DZA",2000,0,137878.811984958
"Algeria","DZA",2001,0,138953.174171092
"Algeria","DZA",2002,0,139887.31900277
"Algeria","DZA",2003,2275,143080.11305958
"Algeria","DZA",2004,0,141775.387190563
"Algeria","DZA",2005,0,142857.890715358
"Algeria","DZA",2006,4,144536.12050124
"Algeria","DZA",2007,0,146687.382991039
"Algeria","DZA",2008,2,147974.910372166
"Algeria","DZA",2009,0,149905.696064844
"Algeria","DZA",2010,2,151348.053513534
"Algeria","DZA",2011,0,153511.575993165
"Algeria","DZA",2012,0,155025.928727153
"Algeria","DZA",2013,0,158062.410164415
"Algeria","DZA",2014,6,161692.239530602
"Algeria","DZA",2015,0,164432.039825434
"Algeria","DZA",2016,0,166018.737168127
"Algeria","DZA",2017,0,167907.434712786
"Argentina","ARG",1990,0,253537.678187353
"Argentina","ARG",1991,0,253982.591262092
"Argentina","ARG",1992,0,259963.761517355
"Argentina","ARG",1993,0,259313.980272141
"Argentina","ARG",1994,0,257531.421016666
"Argentina","ARG",1995,0,261913.5492995
"Argentina","ARG",1996,0,267952.322612546
"Argentina","ARG",1997,0,272499.221384696
"Argentina","ARG",1998,0,279299.705525183
"Argentina","ARG",1999,0,286180.347072582
"Argentina","ARG",2000,0,280276.207053378
"Argentina","ARG",2001,0,285191.263712012
"Argentina","ARG",2002,0,293090.596845813
"Argentina","ARG",2003,0,298770.554961513
"Argentina","ARG",2004,1,292272.786552469
"Argentina","ARG",2005,0,290153.648656238
"Argentina","ARG",2006,0,293706.551639454
"Argentina","ARG",2007,0,305509.100802535
"Argentina","ARG",2008,0,300204.972570685
"Argentina","ARG",2009,0,305160.463339555
"Argentina","ARG",2010,2,309435.905804986
"Argentina","ARG",2011,0,314266.292819405
"Argentina","ARG",2012,0,317766.072903942
"Argentina","ARG",2013,0,321920.184569572
"Argentina","ARG",2014,0,322011.936110675
"Argentina","ARG",2015,2,325915.927528701
"Argentina","ARG",2016,0,331186.549630146
"Argentina","ARG",2017,0,332465.3298372
"Armenia","ARM",1990,0,24551.1715985766
"Armenia","ARM",1991,0,25525.7113084305
"Armenia","ARM",1992,0,27375.0780852669
"Armenia","ARM",1993,0,27129.3293324793
"Armenia","ARM",1994,0,26528.4071087964
"Armenia","ARM",1995,0,25966.4231487867
"Armenia","ARM",1996,0,25627.2043868448
"Armenia","ARM",1997,0,24913.5079551141
"Armenia","ARM",1998,0,24484.3275812606
"Armenia","ARM",1999,0,24428.9229393497
"Armenia","ARM",2000,0,24447.4399494233
"Armenia","ARM",2001,0,24749.4940116809
"Armenia","ARM",2002,0,25533.1177721746
"Armenia","ARM",2003,0,25987.9003496162
"Armenia","ARM",2004,0,25922.6094905297
"Armenia","ARM",2005,0,26400.3311234634
"Armenia","ARM",2006,0,26913.2803088773
"Armenia","ARM",2007,0,27026.4191088288
"Armenia","ARM",2008,0,27572.4716901119
"Armenia","ARM",2009,0,27700.3433443217
"Armenia","ARM",2010,0,27934.3294555277
"Armenia","ARM",2011,0,27865.0819375065
"Armenia","ARM",2012,0,27694.9272989497
"Armenia","ARM",2013,0,27328.7276622597
"Armenia","ARM",2014,0,27300.1957960413
"Armenia","ARM",2015,0,27776.334032051
"Armenia","ARM",2016,0,28109.1306282906
"Armenia","ARM",2017,0,28294.1304617313
"Australia","AUS",1990,0,119532.286288599
"Australia","AUS",1991,0,119388.099907771
"Australia","AUS",1992,0,121939.440147197
"Australia","AUS",1993,0,121686.361278607
"Australia","AUS",1994,0,125396.312959101
"Australia","AUS",1995,0,125421.106376959
"Australia","AUS",1996,0,127841.662034442
"Australia","AUS",1997,0,128170.646735182
"Australia","AUS",1998,0,128188.656103393
"Australia","AUS",1999,0,128125.335933454
"Australia","AUS",2000,0,129387.123155381
"Australia","AUS",2001,0,129692.245697326
"Australia","AUS",2002,0,132179.150995215
"Australia","AUS",2003,0,132104.929666777
"Australia","AUS",2004,0,132311.802004673
"Australia","AUS",2005,0,132233.1123231
"Australia","AUS",2006,0,134222.147784464
"Australia","AUS",2007,0,139060.728896776
"Australia","AUS",2008,0,141832.779561604
"Australia","AUS",2009,0,143063.19939105
"Australia","AUS",2010,0,143865.006568502
"Australia","AUS",2011,0,146842.865829722
"Australia","AUS",2012,0,146799.945013829
"Australia","AUS",2013,0,148925.849428717
"Australia","AUS",2014,0,154570.25265568
"Australia","AUS",2015,0,160006.204757859
"Australia","AUS",2016,0,164557.327262595
"Australia","AUS",2017,0,170872.386259991
"Austria","AUT",1990,0,83010.3622709224
"Austria","AUT",1991,0,83394.9883585334
"Austria","AUT",1992,0,82764.849678163
"Austria","AUT",1993,0,82456.4940398162
"Austria","AUT",1994,0,80986.4760483164
"Austria","AUT",1995,0,81020.6749099471
"Austria","AUT",1996,0,80814.7283985102
"Austria","AUT",1997,0,78600.2566381501
"Austria","AUT",1998,1,78133.4956214016
"Austria","AUT",1999,0,77647.3203567369
"Austria","AUT",2000,0,77231.6162269234
"Austria","AUT",2001,0,75463.7413706374
"Austria","AUT",2002,0,75769.5282769308
"Austria","AUT",2003,0,76070.6614178648
"Austria","AUT",2004,0,74673.5497567831
"Austria","AUT",2005,0,75372.9006746637
"Austria","AUT",2006,0,73988.1229079487
"Austria","AUT",2007,0,74841.4193297867
"Austria","AUT",2008,0,74737.6462522856
"Austria","AUT",2009,0,76683.3079552174
"Austria","AUT",2010,0,77031.0123642328
"Austria","AUT",2011,0,77868.0097156488
"Austria","AUT",2012,0,78412.8528239291
"Austria","AUT",2013,0,78632.2541663497
"Austria","AUT",2014,0,79204.0984617136
"Austria","AUT",2015,0,80520.6127689747
"Austria","AUT",2016,0,80513.2060907201
"Austria","AUT",2017,0,81371.3795349364
"Azerbaijan","AZE",1990,0,54905.2979547954
"Azerbaijan","AZE",1991,0,57643.9295796807
"Azerbaijan","AZE",1992,0,65161.0929552939
"Azerbaijan","AZE",1993,0,66164.4478837263
"Azerbaijan","AZE",1994,0,70055.9969572381
"Azerbaijan","AZE",1995,0,64979.4447292901
"Azerbaijan","AZE",1996,0,64290.3945169447
"Azerbaijan","AZE",1997,0,63239.1857752223
"Azerbaijan","AZE",1998,0,62552.6658926171
"Azerbaijan","AZE",1999,1,61354.7384762211
"Azerbaijan","AZE",2000,31,60318.0687136938
"Azerbaijan","AZE",2001,0,60644.1703016788
"Azerbaijan","AZE",2002,0,62204.6537847968
"Azerbaijan","AZE",2003,0,64114.1639169186
"Azerbaijan","AZE",2004,0,64611.7117571643
"Azerbaijan","AZE",2005,0,65817.5263283803
"Azerbaijan","AZE",2006,0,66195.9420875453
"Azerbaijan","AZE",2007,0,65272.5760410834
"Azerbaijan","AZE",2008,0,66141.1897130183
"Azerbaijan","AZE",2009,0,66897.5283732446
"Azerbaijan","AZE",2010,0,67987.121688372
"Azerbaijan","AZE",2011,0,69176.2417285637
"Azerbaijan","AZE",2012,0,69795.2889517062
"Azerbaijan","AZE",2013,0,70303.8714408325
"Azerbaijan","AZE",2014,0,71136.8058774915
"Azerbaijan","AZE",2015,0,72040.3514994732
"Azerbaijan","AZE",2016,0,73827.8403491454
"Azerbaijan","AZE",2017,0,75511.8408138537
"Bangladesh","BGD",1990,0,1167803.26388494
"Bangladesh","BGD",1991,0,1247866.56483806
"Bangladesh","BGD",1992,0,1078356.28197549
"Bangladesh","BGD",1993,0,1043435.57905835
"Bangladesh","BGD",1994,0,1012668.74971299
"Bangladesh","BGD",1995,0,996091.010610081
"Bangladesh","BGD",1996,0,965767.212205956
"Bangladesh","BGD",1997,0,940316.411857862
"Bangladesh","BGD",1998,0,917184.842554956
"Bangladesh","BGD",1999,6,899322.72748774
"Bangladesh","BGD",2000,0,896340.213156607
"Bangladesh","BGD",2001,0,888463.411108918
"Bangladesh","BGD",2002,0,885833.48859708
"Bangladesh","BGD",2003,2,885825.63264313
"Bangladesh","BGD",2004,0,880876.815652421
"Bangladesh","BGD",2005,0,880078.936053765
"Bangladesh","BGD",2006,0,876450.005492528
"Bangladesh","BGD",2007,0,886240.197871317
"Bangladesh","BGD",2008,0,882139.231615256
"Bangladesh","BGD",2009,0,871276.363087389
"Bangladesh","BGD",2010,0,873436.278066883
"Bangladesh","BGD",2011,0,853021.55983388
"Bangladesh","BGD",2012,0,836199.302764761
"Bangladesh","BGD",2013,0,834068.307604858
"Bangladesh","BGD",2014,0,848323.809745388
"Bangladesh","BGD",2015,0,851634.853345972
"Bangladesh","BGD",2016,0,863070.068946438
"Bangladesh","BGD",2017,0,887218.63144707
"Barbados","BRB",1990,0,2301.89364626869
"Barbados","BRB",1991,0,2320.972977986
"Barbados","BRB",1992,0,2344.81598682899
"Barbados","BRB",1993,0,2375.9425303188
"Barbados","BRB",1994,0,2431.48239472886
"Barbados","BRB",1995,0,2394.80428547045
"Barbados","BRB",1996,0,2350.66801904843
"Barbados","BRB",1997,0,2383.53404389001
"Barbados","BRB",1998,0,2373.82706864679
"Barbados","BRB",1999,0,2357.76210117375
"Barbados","BRB",2000,0,2356.38127249656
"Barbados","BRB",2001,0,2305.15905851207
"Barbados","BRB",2002,0,2338.4500921949
"Barbados","BRB",2003,0,2343.91276093641
"Barbados","BRB",2004,0,2371.07846701486
"Barbados","BRB",2005,0,2393.57353128942
"Barbados","BRB",2006,0,2363.74370397367
"Barbados","BRB",2007,0,2342.75126346214
"Barbados","BRB",2008,0,2349.29795959595
"Barbados","BRB",2009,0,2332.05103627615
"Barbados","BRB",2010,0,2371.63172790058
"Barbados","BRB",2011,0,2417.07905562436
"Barbados","BRB",2012,0,2434.78796476214
"Barbados","BRB",2013,0,2495.99493993577
"Barbados","BRB",2014,0,2577.92012830332
"Barbados","BRB",2015,0,2648.83598646433
"Barbados","BRB",2016,0,2709.72701487109
"Barbados","BRB",2017,0,2778.11274972966
"Belgium","BEL",1990,0,104527.543762828
"Belgium","BEL",1991,0,103740.300281633
"Belgium","BEL",1992,0,104507.845217452
"Belgium","BEL",1993,0,105007.540362021
"Belgium","BEL",1994,0,104880.013886537
"Belgium","BEL",1995,0,104961.211113009
"Belgium","BEL",1996,0,104199.89271038
"Belgium","BEL",1997,0,104248.252622927
"Belgium","BEL",1998,0,104259.336019041
"Belgium","BEL",1999,0,104134.529856457
"Belgium","BEL",2000,0,104874.730629812
"Belgium","BEL",2001,0,104347.022719162
"Belgium","BEL",2002,0,105196.394375869
"Belgium","BEL",2003,0,104750.581349317
"Belgium","BEL",2004,0,102212.95434135
"Belgium","BEL",2005,0,102327.87353431
"Belgium","BEL",2006,0,100606.642403088
"Belgium","BEL",2007,0,102536.83004796
"Belgium","BEL",2008,0,104136.338370682
"Belgium","BEL",2009,0,104597.230311541
"Belgium","BEL",2010,0,104516.627788118
"Belgium","BEL",2011,0,106031.456818795
"Belgium","BEL",2012,0,107883.161881542
"Belgium","BEL",2013,0,108324.370600177
"Belgium","BEL",2014,0,105951.599308495
"Belgium","BEL",2015,0,108659.218956131
"Belgium","BEL",2016,0,107928.985900128
"Belgium","BEL",2017,0,108891.578990053
"Bhutan","BTN",1990,0,4903.6381816429
"Bhutan","BTN",1991,0,4772.50267991877
"Bhutan","BTN",1992,0,4612.91140180433
"Bhutan","BTN",1993,0,4508.13065398966
"Bhutan","BTN",1994,0,4454.72708763884
"Bhutan","BTN",1995,0,4331.65851744563
"Bhutan","BTN",1996,0,4215.0032497831
"Bhutan","BTN",1997,0,4159.49309172088
"Bhutan","BTN",1998,0,4088.91059413031
"Bhutan","BTN",1999,0,4007.27981607791
"Bhutan","BTN",2000,0,4169.90460117519
"Bhutan","BTN",2001,0,3919.5807445152
"Bhutan","BTN",2002,0,3871.70632937338
"Bhutan","BTN",2003,0,3849.54412926634
"Bhutan","BTN",2004,0,3829.64091454649
"Bhutan","BTN",2005,0,3825.58766263863
"Bhutan","BTN",2006,0,3823.78209896587
"Bhutan","BTN",2007,0,3822.38214669931
"Bhutan","BTN",2008,0,3837.74771709326
"Bhutan","BTN",2009,11,3886.8235774911
"Bhutan","BTN",2010,0,3880.58504015633
"Bhutan","BTN",2011,0,3906.00041465972
"Bhutan","BTN",2012,0,3933.68337864998
"Bhutan","BTN",2013,0,3968.68622133013
"Bhutan","BTN",2014,0,4005.72406654367
"Bhutan","BTN",2015,0,4045.83560013856
"Bhutan","BTN",2016,0,4089.80939377949
"Bhutan","BTN",2017,0,4139.80772208413
"Bolivia","BOL",1990,0,63426.6792550175
"Bolivia","BOL",1991,0,63313.5822372608
"Bolivia","BOL",1992,0,63162.523463759
"Bolivia","BOL",1993,0,62721.3118383485
"Bolivia","BOL",1994,5,61853.1132866256
"Bolivia","BOL",1995,0,61551.6361704502
"Bolivia","BOL",1996,0,61024.6879551285
"Bolivia","BOL",1997,0,60918.3030139396
"Bolivia","BOL",1998,105,60453.494129354
"Bolivia","BOL",1999,0,60005.733770389
"Bolivia","BOL",2000,0,59568.6333271018
"Bolivia","BOL",2001,0,59023.0477553986
"Bolivia","BOL",2002,0,59185.5481627519
"Bolivia","BOL",2003,0,59094.8762488224
"Bolivia","BOL",2004,0,59074.0043662081
"Bolivia","BOL",2005,0,59313.264611025
"Bolivia","BOL",2006,0,59555.2720936063
"Bolivia","BOL",2007,0,60124.79468576
"Bolivia","BOL",2008,0,60482.4688775429
"Bolivia","BOL",2009,0,60825.0704570182
"Bolivia","BOL",2010,0,61400.3901243238
"Bolivia","BOL",2011,0,62075.0660907056
"Bolivia","BOL",2012,0,62590.800011227
"Bolivia","BOL",2013,0,63400.6914204017
"Bolivia","BOL",2014,0,64197.9153252506
"Bolivia","BOL",2015,0,64837.4256858905
"Bolivia","BOL",2016,0,65728.7423965603
"Bolivia","BOL",2017,0,66605.3691746575
"Bosnia and Herzegovina","BIH",1990,0,27945.2689158049
"Bosnia and Herzegovina","BIH",1991,0,30646.8833839512
"Bosnia and Herzegovina","BIH",1992,0,39903.8333554874
"Bosnia and Herzegovina","BIH",1993,0,38400.1415269892
"Bosnia and Herzegovina","BIH",1994,0,35783.0283089747
"Bosnia and Herzegovina","BIH",1995,0,41991.1726798737
"Bosnia and Herzegovina","BIH",1996,0,31082.2014967511
"Bosnia and Herzegovina","BIH",1997,0,29915.8365656001
"Bosnia and Herzegovina","BIH",1998,0,28619.9422372574
"Bosnia and Herzegovina","BIH",1999,0,29050.1941100243
"Bosnia and Herzegovina","BIH",2000,0,29534.5670570145
"Bosnia and Herzegovina","BIH",2001,0,29979.5479470599
"Bosnia and Herzegovina","BIH",2002,0,30426.6676699839
"Bosnia and Herzegovina","BIH",2003,0,30252.7976847372
"Bosnia and Herzegovina","BIH",2004,0,30572.1130018012
"Bosnia and Herzegovina","BIH",2005,0,32192.3742583835
"Bosnia and Herzegovina","BIH",2006,0,32672.4602761925
"Bosnia and Herzegovina","BIH",2007,0,34207.2417993704
"Bosnia and Herzegovina","BIH",2008,0,33449.6306946381
"Bosnia and Herzegovina","BIH",2009,0,34198.4426199344
"Bosnia and Herzegovina","BIH",2010,0,34502.8445084441
"Bosnia and Herzegovina","BIH",2011,0,34812.4062613401
"Bosnia and Herzegovina","BIH",2012,0,34849.2570509345
"Bosnia and Herzegovina","BIH",2013,0,35480.4387680222
"Bosnia and Herzegovina","BIH",2014,0,36027.7696380196
"Bosnia and Herzegovina","BIH",2015,4,36898.7587516982
"Bosnia and Herzegovina","BIH",2016,0,36950.2487645288
"Bosnia and Herzegovina","BIH",2017,0,37010.53830983
"Brazil","BRA",1990,0,959087.855201621
"Brazil","BRA",1991,0,950405.968707316
"Brazil","BRA",1992,0,958844.613628861
"Brazil","BRA",1993,0,981326.830766574
"Brazil","BRA",1994,0,989851.322644356
"Brazil","BRA",1995,0,995239.627887999
"Brazil","BRA",1996,0,996429.75109627
"Brazil","BRA",1997,0,995278.894222286
"Brazil","BRA",1998,0,1005934.87191099
"Brazil","BRA",1999,0,1016194.22303114
"Brazil","BRA",2000,0,1020207.94650794
"Brazil","BRA",2001,0,1028999.95081614
"Brazil","BRA",2002,0,1042034.05949441
"Brazil","BRA",2003,0,1060727.1911986
"Brazil","BRA",2004,0,1071394.82803378
"Brazil","BRA",2005,0,1067679.61771151
"Brazil","BRA",2006,0,1080376.18348676
"Brazil","BRA",2007,1,1096728.05879796
"Brazil","BRA",2008,0,1115504.12735666
"Brazil","BRA",2009,0,1139786.63650507
"Brazil","BRA",2010,0,1164808.66939027
"Brazil","BRA",2011,0,1191114.56203641
"Brazil","BRA",2012,0,1202816.60237694
"Brazil","BRA",2013,0,1224864.25965146
"Brazil","BRA",2014,0,1241913.20874125
"Brazil","BRA",2015,0,1267922.29628218
"Brazil","BRA",2016,0,1312303.30827562
"Brazil","BRA",2017,0,1349150.42213942
"Bulgaria","BGR",1990,0,102999.634596092
"Bulgaria","BGR",1991,0,102385.960571057
"Bulgaria","BGR",1992,0,105761.628137977
"Bulgaria","BGR",1993,0,106864.318300333
"Bulgaria","BGR",1994,0,111571.561491619
"Bulgaria","BGR",1995,0,113665.28595566
"Bulgaria","BGR",1996,0,115359.939379912
"Bulgaria","BGR",1997,0,120002.214313797
"Bulgaria","BGR",1998,0,116172.845939496
"Bulgaria","BGR",1999,0,112460.104668919
"Bulgaria","BGR",2000,0,114129.894814299
"Bulgaria","BGR",2001,0,112710.114614678
"Bulgaria","BGR",2002,0,111954.678031972
"Bulgaria","BGR",2003,0,110784.014971894
"Bulgaria","BGR",2004,0,110914.013352204
"Bulgaria","BGR",2005,0,112703.751398747
"Bulgaria","BGR",2006,0,113861.642356094
"Bulgaria","BGR",2007,0,112257.786625979
"Bulgaria","BGR",2008,0,110206.453368008
"Bulgaria","BGR",2009,0,108923.215600739
"Bulgaria","BGR",2010,0,109244.24365088
"Bulgaria","BGR",2011,0,108793.372162521
"Bulgaria","BGR",2012,0,107075.350077514
"Bulgaria","BGR",2013,0,105495.652680417
"Bulgaria","BGR",2014,0,109001.892144897
"Bulgaria","BGR",2015,0,107356.384239466
"Bulgaria","BGR",2016,0,107199.09028449
"Bulgaria","BGR",2017,0,107619.391180965
"Burundi","BDI",1990,0,86915.0923309895
"Burundi","BDI",1991,0,88640.1780244472
"Burundi","BDI",1992,0,89297.1114401682
"Burundi","BDI",1993,0,90463.0627323408
"Burundi","BDI",1994,0,106647.955025881
"Burundi","BDI",1995,0,108897.654767622
"Burundi","BDI",1996,0,110773.036758698
"Burundi","BDI",1997,0,112857.427268674
"Burundi","BDI",1998,0,112033.077051663
"Burundi","BDI",1999,0,112321.408944413
"Burundi","BDI",2000,0,113107.694002542
"Burundi","BDI",2001,0,111195.104890699
"Burundi","BDI",2002,0,109078.855270962
"Burundi","BDI",2003,0,107452.497747834
"Burundi","BDI",2004,3,104878.307454652
"Burundi","BDI",2005,0,102902.310818637
"Burundi","BDI",2006,0,87846.6965588642
"Burundi","BDI",2007,0,85405.8212555466
"Burundi","BDI",2008,0,83911.3872691762
"Burundi","BDI",2009,0,82462.2748495595
"Burundi","BDI",2010,0,81229.0153993327
"Burundi","BDI",2011,0,79910.9149997279
"Burundi","BDI",2012,0,79315.8732249812
"Burundi","BDI",2013,0,79133.509840352
"Burundi","BDI",2014,0,79169.6856094189
"Burundi","BDI",2015,0,80227.2162893538
"Burundi","BDI",2016,0,80778.7567728736
"Burundi","BDI",2017,0,81916.8344968599
"Canada","CAN",1990,0,192575.529354192
"Canada","CAN",1991,0,195135.423404259
"Canada","CAN",1992,0,198443.205884495
"Canada","CAN",1993,0,204127.83783264
"Canada","CAN",1994,0,207083.956386286
"Canada","CAN",1995,0,211515.995709072
"Canada","CAN",1996,0,213599.523223524
"Canada","CAN",1997,0,214577.079328572
"Canada","CAN",1998,0,217409.834543093
"Canada","CAN",1999,0,218676.357664234
"Canada","CAN",2000,0,218798.929386558
"Canada","CAN",2001,0,220212.790231816
"Canada","CAN",2002,0,223466.024665538
"Canada","CAN",2003,0,226424.601449534
"Canada","CAN",2004,0,226973.514206261
"Canada","CAN",2005,0,230601.282067196
"Canada","CAN",2006,0,230423.878788725
"Canada","CAN",2007,0,235837.969767913
"Canada","CAN",2008,0,239997.03563978
"Canada","CAN",2009,0,240837.507438464
"Canada","CAN",2010,0,241226.849378342
"Canada","CAN",2011,0,242694.439400737
"Canada","CAN",2012,1,249773.858891943
"Canada","CAN",2013,0,251524.957626005
"Canada","CAN",2014,0,260617.56307285
"Canada","CAN",2015,0,269392.524275276
"Canada","CAN",2016,0,273284.515068627
"Canada","CAN",2017,0,279402.961240549
"Chile","CHL",1990,0,78748.4341814681
"Chile","CHL",1991,0,74926.5338314472
"Chile","CHL",1992,0,73458.0399696507
"Chile","CHL",1993,0,76005.2803078309
"Chile","CHL",1994,0,77518.7935530507
"Chile","CHL",1995,3,79192.5293578601
"Chile","CHL",1996,0,79578.1031923513
"Chile","CHL",1997,8,79495.5871284147
"Chile","CHL",1998,0,80635.1331941562
"Chile","CHL",1999,0,81382.7941240319
"Chile","CHL",2000,0,79698.2837622871
"Chile","CHL",2001,0,82755.2634044526
"Chile","CHL",2002,0,81876.1113775256
"Chile","CHL",2003,0,84472.6225137353
"Chile","CHL",2004,0,86005.2558877039
"Chile","CHL",2005,11,85854.0048558985
"Chile","CHL",2006,0,86536.064024896
"Chile","CHL",2007,12,88379.8301122177
"Chile","CHL",2008,0,88040.5231037097
"Chile","CHL",2009,0,93006.471505972
"Chile","CHL",2010,558,96382.9502824271
"Chile","CHL",2011,0,96333.6707903524
"Chile","CHL",2012,3,98060.8735255901
"Chile","CHL",2013,0,100799.19705433
"Chile","CHL",2014,7,101941.30198164
"Chile","CHL",2015,15,105061.584641859
"Chile","CHL",2016,0,108049.671857878
"Chile","CHL",2017,1,112316.152313993
"China","CHN",1990,130,8143124.24554766
"China","CHN",1991,0,8252949.21899205
"China","CHN",1992,0,8294655.80073597
"China","CHN",1993,2,8308593.3456297
"China","CHN",1994,0,8308345.10136336
"China","CHN",1995,106,8319444.61151158
"China","CHN",1996,369,8328744.46006651
"China","CHN",1997,23,8300307.53698586
"China","CHN",1998,78,8312130.68803278
"China","CHN",1999,1,8292976.55414175
"China","CHN",2000,8,8339272.4098737
"China","CHN",2001,6,8312109.93817112
"China","CHN",2002,2,8375104.9650134
"China","CHN",2003,315,8486927.26880434
"China","CHN",2004,4,8577767.83518162
"China","CHN",2005,18,8488366.17327914
"China","CHN",2006,23,8283050.34066505
"China","CHN",2007,3,8282006.66364361
"China","CHN",2008,87724,8548605.74780201
"China","CHN",2009,2,8725976.06416979
"China","CHN",2010,2228,8976444.31357791
"China","CHN",2011,25,9159059.68553916
"China","CHN",2012,86,9311446.09968449
"China","CHN",2013,295,9353931.62313396
"China","CHN",2014,622,9705088.90135885
"China","CHN",2015,5,10100264.0075994
"China","CHN",2016,0,10370015.7331441
"China","CHN",2017,33,10452104.1912536
"Colombia","COL",1990,0,169081.358827626
"Colombia","COL",1991,2,180367.160810844
"Colombia","COL",1992,11,184934.885666471
"Colombia","COL",1993,0,184651.613301968
"Colombia","COL",1994,650,187925.274317014
"Colombia","COL",1995,52,190507.84556236
"Colombia","COL",1996,0,192278.846605995
"Colombia","COL",1997,0,185880.023658826
"Colombia","COL",1998,0,186060.115870341
"Colombia","COL",1999,1185,190452.001342992
"Colombia","COL",2000,0,194780.741173421
"Colombia","COL",2001,0,199100.320432584
"Colombia","COL",2002,0,218880.968967118
"Colombia","COL",2003,0,200687.209617742
"Colombia","COL",2004,0,200765.511518359
"Colombia","COL",2005,0,196518.723142028
"Colombia","COL",2006,0,200639.792529415
"Colombia","COL",2007,0,198943.897874903
"Colombia","COL",2008,6,201734.138428452
"Colombia","COL",2009,0,207730.013829064
"Colombia","COL",2010,0,207868.407059234
"Colombia","COL",2011,0,203332.44815406
"Colombia","COL",2012,0,205450.848751109
"Colombia","COL",2013,0,208207.65182307
"Colombia","COL",2014,0,210653.362833409
"Colombia","COL",2015,0,219044.489159325
"Colombia","COL",2016,0,226957.503640454
"Colombia","COL",2017,0,234216.581097116
"Congo","COG",1990,0,30117.103530538
"Congo","COG",1991,0,31202.0229887098
"Congo","COG",1992,8,32298.4881827538
"Congo","COG",1993,0,34172.4016739774
"Congo","COG",1994,0,35365.2321778843
"Congo","COG",1995,0,36786.824308425
"Congo","COG",1996,0,38032.4472269191
"Congo","COG",1997,0,49353.4667416782
"Congo","COG",1998,0,43472.4534414891
"Congo","COG",1999,0,41108.0970357507
"Congo","COG",2000,0,40794.807516559
"Congo","COG",2001,0,40129.0382302015
"Congo","COG",2002,2,40047.1013499282
"Congo","COG",2003,0,40073.2568605397
"Congo","COG",2004,0,39773.5780246317
"Congo","COG",2005,6,39537.2978903079
"Congo","COG",2006,0,38990.2450854813
"Congo","COG",2007,0,38973.0549072047
"Congo","COG",2008,38,38417.5840321986
"Congo","COG",2009,0,37945.2703663803
