"Country","Code","Year","Death_earthquake","Death_total"
"Afghanistan","AFG",1990,54,196064.098125331
"Afghanistan","AFG",1991,848,199867.866189221
"Afghanistan","AFG",1992,0,208838.902474691
"Afghanistan","AFG",1993,0,236647.093231246
"Afghanistan","AFG",1994,0,260216.187535718
"Afghanistan","AFG",1995,0,265890.703349351
"Afghanistan","AFG",1996,0,269621.704812899
"Afghanistan","AFG",1997,0,277197.359137926
"Afghanistan","AFG",1998,7024,290800.025984012
"Afghanistan","AFG",1999,70,274708.109936982
"Afghanistan","AFG",2000,0,266844.070401438
"Afghanistan","AFG",2001,4,264258.438117634
"Afghanistan","AFG",2002,1166,253630.628768141
"Afghanistan","AFG",2003,0,255845.953728066
"Afghanistan","AFG",2004,5,252026.936239295
"Afghanistan","AFG",2005,5,250661.68887662
"Afghanistan","AFG",2006,0,251083.213692067
"Afghanistan","AFG",2007,0,244859.628867595
"Afghanistan","AFG",2008,0,239208.261272811
"Afghanistan","AFG",2009,24,236078.429580249
"Afghanistan","AFG",2010,11,232401.089738985
"Afghanistan","AFG",2011,0,231405.266950625
"Afghanistan","AFG",2012,75,231983.787478283
"Afghanistan","AFG",2013,18,232020.296655498
"Afghanistan","AFG",2014,0,239816.478794682
"Afghanistan","AFG",2015,403,245708.999806106
"Afghanistan","AFG",2016,6,250493.079589588
"Afghanistan","AFG",2017,0,226650.055480513
"Albania","ALB",1990,0,16618.3368299967
"Albania","ALB",1991,0,17281.3467169999
"Albania","ALB",1992,0,17077.1713847903
"Albania","ALB",1993,0,16732.0554868274
"Albania","ALB",1994,0,16223.9574605705
"Albania","ALB",1995,0,16322.9788535873
"Albania","ALB",1996,0,16888.7571976401
"Albania","ALB",1997,0,19194.4998253472
"Albania","ALB",1998,0,17497.9540028348
"Albania","ALB",1999,0,17811.0943300687
"Albania","ALB",2000,0,17324.1906688534
"Albania","ALB",2001,0,17163.804387236
"Albania","ALB",2002,0,17438.6111682612
"Albania","ALB",2003,0,17796.8195404048
"Albania","ALB",2004,0,18017.3116891946
"Albania","ALB",2005,0,17861.0783397522
"Albania","ALB",2006,0,17808.2457163382
"Albania","ALB",2007,0,17512.8724298541
"Albania","ALB",2008,0,17888.5576563908
"Albania","ALB",2009,0,17871.9630299364
"Albania","ALB",2010,0,18209.5764697192
"Albania","ALB",2011,0,18694.0069715616
"Albania","ALB",2012,0,19180.1526523318
"Albania","ALB",2013,0,19718.9166858908
"Albania","ALB",2014,0,20353.6465937545
"Albania","ALB",2015,0,20814.022661196
"Albania","ALB",2016,0,21289.4497303383
"Albania","ALB",2017,0,21756.8189823402
