"Entity","Year","Deaths","Counts","death_per_event"
"All natural disasters",1900,1267330,5,253466
"All natural disasters",1901,18,2,9
"All natural disasters",1902,46037,9,5115.22222222222
"All natural disasters",1903,6506,8,813.25
"All natural disasters",1904,0,2,0
"All natural disasters",1905,22758,4,5689.5
"All natural disasters",1906,42970,17,2527.64705882353
"All natural disasters",1907,25641,5,5128.2
"All natural disasters",1908,75033,4,18758.25
"All natural disasters",1909,11484,11,1044
"All natural disasters",1910,88233,15,5882.2
"All natural disasters",1911,102408,5,20481.6
"All natural disasters",1912,52093,7,7441.85714285714
"All natural disasters",1913,882,5,176.4
"All natural disasters",1914,289,6,48.1666666666667
"All natural disasters",1915,32167,7,4595.28571428571
"All natural disasters",1916,300,2,150
"All natural disasters",1917,23507,6,3917.83333333333
"All natural disasters",1918,11413,7,1630.42857142857
"All natural disasters",1919,5500,4,1375
"All natural disasters",1920,704224,7,100603.428571429
"All natural disasters",1921,1200000,2,6e+05
"All natural disasters",1922,101243,6,16873.8333333333
"All natural disasters",1923,155701,12,12975.0833333333
"All natural disasters",1924,3009,4,752.25
"All natural disasters",1925,5832,6,972
"All natural disasters",1926,4852,15,323.466666666667
"All natural disasters",1927,215160,12,17930
"All natural disasters",1928,3004895,17,176758.529411765
"All natural disasters",1929,8377,6,1396.16666666667
"All natural disasters",1930,10572,14,755.142857142857
"All natural disasters",1931,3706227,12,308852.25
"All natural disasters",1932,73280,8,9160
"All natural disasters",1933,34296,10,3429.6
"All natural disasters",1934,21087,9,2343
"All natural disasters",1935,270817,11,24619.7272727273
"All natural disasters",1936,5301,11,481.909090909091
"All natural disasters",1937,12025,7,1717.85714285714
"All natural disasters",1938,2225,7,317.857142857143
"All natural disasters",1939,563178,11,51198
"All natural disasters",1940,21523,17,1266.05882352941
"All natural disasters",1941,10195,5,2039
"All natural disasters",1942,1608235,9,178692.777777778
"All natural disasters",1943,1910322,12,159193.5
"All natural disasters",1944,15906,12,1325.5
"All natural disasters",1945,10376,12,864.666666666667
"All natural disasters",1946,35490,15,2366
"All natural disasters",1947,7371,12,614.25
"All natural disasters",1948,120131,23,5223.08695652174
"All natural disasters",1949,120370,20,6018.5
"All natural disasters",1950,6728,23,292.521739130435
"All natural disasters",1951,15042,27,557.111111111111
"All natural disasters",1952,8965,24,373.541666666667
"All natural disasters",1953,12475,34,366.911764705882
"All natural disasters",1954,41872,33,1268.84848484848
"All natural disasters",1955,6026,30,200.866666666667
"All natural disasters",1956,7737,36,214.916666666667
"All natural disasters",1957,10603,29,365.620689655172
"All natural disasters",1958,3950,23,171.739130434783
"All natural disasters",1959,2013242,33,61007.3333333333
"All natural disasters",1960,39188,40,979.7
"All natural disasters",1961,17341,28,619.321428571429
"All natural disasters",1962,17370,28,620.357142857143
"All natural disasters",1963,36746,41,896.243902439024
