"Entity","Year","Deaths","Counts","death_per_event"
"All natural disasters",1964,12275,60,204.583333333333
"All natural disasters",1965,1564701,61,25650.8360655738
"All natural disasters",1966,16981,80,212.2625
"All natural disasters",1967,6966,70,99.5142857142857
"All natural disasters",1968,21284,77,276.415584415584
"All natural disasters",1969,8167,62,131.725806451613
"All natural disasters",1970,386568,77,5020.36363636364
"All natural disasters",1971,15773,61,258.573770491803
"All natural disasters",1972,20010,63,317.619047619048
"All natural disasters",1973,110555,60,1842.58333333333
"All natural disasters",1974,86004,68,1264.76470588235
"All natural disasters",1975,14858,63,235.84126984127
"All natural disasters",1976,280073,91,3077.72527472527
"All natural disasters",1977,21222,121,175.388429752066
"All natural disasters",1978,35036,115,304.660869565217
"All natural disasters",1979,6855,120,57.125
"All natural disasters",1980,21404,133,160.932330827068
"All natural disasters",1981,117200,138,849.275362318841
"All natural disasters",1982,11061,153,72.2941176470588
"All natural disasters",1983,460342,205,2245.57073170732
"All natural disasters",1984,9257,146,63.4041095890411
"All natural disasters",1985,54378,165,329.563636363636
"All natural disasters",1986,7303,150,48.6866666666667
"All natural disasters",1987,18941,191,99.1675392670157
"All natural disasters",1988,42248,200,211.24
"All natural disasters",1989,10741,172,62.4476744186046
"All natural disasters",1990,50934,278,183.215827338129
"All natural disasters",1991,159025,228,697.478070175439
"All natural disasters",1992,12236,204,59.9803921568627
"All natural disasters",1993,21170,260,81.4230769230769
"All natural disasters",1994,13085,246,53.1910569105691
"All natural disasters",1995,22738,248,91.6854838709677
"All natural disasters",1996,14708,227,64.7929515418502
"All natural disasters",1997,19450,261,74.5210727969349
"All natural disasters",1998,49741,288,172.711805555556
"All natural disasters",1999,70593,337,209.474777448071
"All natural disasters",2000,9687,411,23.5693430656934
"All natural disasters",2001,30978,376,82.3882978723404
"All natural disasters",2002,12580,421,29.8812351543943
"All natural disasters",2003,110036,360,305.655555555556
"All natural disasters",2004,241527,350,690.077142857143
"All natural disasters",2005,89657,432,207.539351851852
"All natural disasters",2006,23491,401,58.5810473815461
"All natural disasters",2007,16938,414,40.9130434782609
"All natural disasters",2008,235332,352,668.556818181818
"All natural disasters",2009,11142,344,32.3895348837209
"All natural disasters",2010,317757,393,808.541984732824
"All natural disasters",2011,30969,334,92.7215568862275
"All natural disasters",2012,9732,346,28.1271676300578
"All natural disasters",2013,21696,332,65.3493975903614
"All natural disasters",2014,7959,320,24.871875
"All natural disasters",2015,22861,380,60.1605263157895
"All natural disasters",2016,8681,325,26.7107692307692
"All natural disasters",2017,7341,276,26.5978260869565
"All natural disasters",2018,10809,282,38.3297872340426
"Drought",1900,1261000,2,630500
"Drought",1910,85000,9,9444.44444444445
"Drought",1920,524000,2,262000
"Drought",1921,1200000,1,1200000
"Drought",1928,3000000,1,3e+06
"Drought",1940,20000,9,2222.22222222222
"Drought",1942,1500000,1,1500000
"Drought",1943,1900000,1,1900000
"Drought",1946,30000,1,30000
"Drought",1964,50,7,7.14285714285714
"Drought",1965,1502000,7,214571.428571429
"Drought",1966,8000,9,888.888888888889
"Drought",1967,600,5,120
"Drought",1973,100000,2,50000
"Drought",1974,19000,4,4750
"Drought",1978,63,9,7
"Drought",1979,18,11,1.63636363636364
"Drought",1981,103000,13,7923.07692307692
"Drought",1982,280,13,21.5384615384615
"Drought",1983,450520,32,14078.75
"Drought",1984,230,8,28.75
"Drought",1986,84,4,21
"Drought",1987,1317,15,87.8
"Drought",1988,1600,17,94.1176470588235
"Drought",1989,237,7,33.8571428571429
"Drought",1991,2000,18,111.111111111111
"Drought",1997,732,18,40.6666666666667
"Drought",1998,20,20,1
"Drought",1999,361,23,15.695652173913
"Drought",2000,80,27,2.96296296296296
"Drought",2001,99,22,4.5
"Drought",2002,588,25,23.52
"Drought",2003,9,14,0.642857142857143
"Drought",2004,80,11,7.27272727272727
"Drought",2005,149,20,7.45
"Drought",2006,134,9,14.8888888888889
"Drought",2008,8,16,0.5
"Drought",2010,20000,17,1176.47058823529
"Drought",2015,35,28,1.25
"Drought",2017,0,7,0
"Drought",2018,0,13,0
"Earthquake",1901,18,2,9
"Earthquake",1902,6747,3,2249
"Earthquake",1903,6000,1,6000
"Earthquake",1905,22500,2,11250
"Earthquake",1906,31966,10,3196.6
"Earthquake",1907,25641,5,5128.2
"Earthquake",1908,75000,3,25000
"Earthquake",1909,5146,3,1715.33333333333
"Earthquake",1910,1762,3,587.333333333333
"Earthquake",1912,923,2,461.5
"Earthquake",1913,150,4,37.5
"Earthquake",1914,149,4,37.25
"Earthquake",1915,29986,3,9995.33333333333
"Earthquake",1917,19450,3,6483.33333333333
"Earthquake",1918,10379,5,2075.8
"Earthquake",1920,180000,3,60000
"Earthquake",1922,1100,2,550
"Earthquake",1923,152362,5,30472.4
"Earthquake",1924,767,2,383.5
"Earthquake",1925,5013,2,2506.5
"Earthquake",1926,12,1,12
"Earthquake",1927,206142,6,34357
"Earthquake",1928,635,7,90.7142857142857
"Earthquake",1929,3317,2,1658.5
"Earthquake",1930,5081,7,725.857142857143
"Earthquake",1931,1537,4,384.25
"Earthquake",1932,70006,2,35003
"Earthquake",1933,16180,4,4045
"Earthquake",1934,15496,4,3874
"Earthquake",1935,66110,3,22036.6666666667
"Earthquake",1936,26,2,13
"Earthquake",1938,166,2,83
"Earthquake",1939,63094,6,10515.6666666667
"Earthquake",1940,1275,4,318.75
"Earthquake",1941,189,2,94.5
"Earthquake",1942,7235,5,1447
"Earthquake",1943,4332,5,866.4
"Earthquake",1944,14984,4,3746
"Earthquake",1945,5961,4,1490.25
"Earthquake",1946,5153,8,644.125
"Earthquake",1947,633,2,316.5
"Earthquake",1948,115618,5,23123.6
"Earthquake",1949,6486,6,1081
"Earthquake",1950,1833,4,458.25
"Earthquake",1951,1554,3,518
"Earthquake",1952,2432,8,304
"Earthquake",1953,2717,7,388.142857142857
"Earthquake",1954,3344,5,668.8
"Earthquake",1955,959,4,239.75
"Earthquake",1956,763,6,127.166666666667
"Earthquake",1957,6993,8,874.125
"Earthquake",1958,227,4,56.75
"Earthquake",1959,103,3,34.3333333333333
"Earthquake",1960,19395,9,2155
"Earthquake",1961,60,2,30
"Earthquake",1962,12209,3,4069.66666666667
"Earthquake",1963,1700,3,566.666666666667
"Earthquake",1964,335,7,47.8571428571429
"Earthquake",1965,683,7,97.5714285714286
"Earthquake",1966,2752,11,250.181818181818
"Earthquake",1967,1013,10,101.3
"Earthquake",1968,10858,14,775.571428571429
"Earthquake",1969,3353,8,419.125
"Earthquake",1970,78599,11,7145.36363636364
"Earthquake",1971,1107,5,221.4
"Earthquake",1972,15170,5,3034
"Earthquake",1973,552,4,138
"Earthquake",1974,24808,4,6202
"Earthquake",1975,12632,4,3158
"Earthquake",1976,276994,20,13849.7
"Earthquake",1977,3098,14,221.285714285714
"Earthquake",1978,25162,9,2795.77777777778
"Earthquake",1979,2100,25,84
"Earthquake",1980,7730,24,322.083333333333
"Earthquake",1981,4206,17,247.411764705882
"Earthquake",1982,2120,18,117.777777777778
"Earthquake",1983,2148,25,85.92
"Earthquake",1984,57,13,4.38461538461539
"Earthquake",1985,9853,22,447.863636363636
"Earthquake",1986,1181,21,56.2380952380952
"Earthquake",1987,5160,19,271.578947368421
"Earthquake",1988,27049,18,1502.72222222222
"Earthquake",1989,650,19,34.2105263157895
"Earthquake",1990,42853,43,996.581395348837
"Earthquake",1991,2454,29,84.6206896551724
"Earthquake",1992,4033,25,161.32
"Earthquake",1993,10088,20,504.4
"Earthquake",1994,1242,25,49.68
"Earthquake",1995,7739,26,297.653846153846
"Earthquake",1996,576,13,44.3076923076923
"Earthquake",1997,3159,23,137.347826086957
"Earthquake",1998,9573,30,319.1
"Earthquake",1999,21869,33,662.69696969697
"Earthquake",2000,217,30,7.23333333333333
"Earthquake",2001,21348,25,853.92
"Earthquake",2002,1639,37,44.2972972972973
"Earthquake",2003,29617,40,740.425
"Earthquake",2004,227290,42,5411.66666666667
"Earthquake",2005,76241,25,3049.64
"Earthquake",2006,6692,24,278.833333333333
"Earthquake",2007,780,21,37.1428571428571
"Earthquake",2008,87918,23,3822.52173913043
"Earthquake",2009,1893,22,86.0454545454545
"Earthquake",2010,226733,24,9447.20833333333
"Earthquake",2011,20946,30,698.2
"Earthquake",2012,711,27,26.3333333333333
"Earthquake",2013,1120,29,38.6206896551724
"Earthquake",2014,774,26,29.7692307692308
"Earthquake",2015,9550,23,415.217391304348
"Earthquake",2016,1311,30,43.7
"Earthquake",2017,861,19,45.3157894736842
"Earthquake",2018,4321,20,216.05
"Extreme temperature",1936,1693,2,846.5
"Extreme temperature",1951,69,2,34.5
"Extreme temperature",1953,669,3,223
"Extreme temperature",1955,107,1,107
"Extreme temperature",1958,651,2,325.5
"Extreme temperature",1961,400,1,400
"Extreme temperature",1962,50,1,50
"Extreme temperature",1963,162,2,81
"Extreme temperature",1965,100,1,100
"Extreme temperature",1966,262,2,131
"Extreme temperature",1968,153,2,76.5
"Extreme temperature",1971,400,1,400
"Extreme temperature",1972,110,2,55
"Extreme temperature",1973,283,3,94.3333333333333
"Extreme temperature",1975,140,3,46.6666666666667
"Extreme temperature",1978,150,1,150
"Extreme temperature",1979,470,4,117.5
"Extreme temperature",1980,1389,3,463
"Extreme temperature",1981,300,2,150
"Extreme temperature",1982,400,3,133.333333333333
"Extreme temperature",1983,205,2,102.5
"Extreme temperature",1984,290,1,290
"Extreme temperature",1985,456,8,57
"Extreme temperature",1986,50,2,25
"Extreme temperature",1987,1220,6,203.333333333333
"Extreme temperature",1988,644,6,107.333333333333
"Extreme temperature",1989,381,5,76.2
"Extreme temperature",1990,979,13,75.3076923076923
"Extreme temperature",1991,835,8,104.375
"Extreme temperature",1992,388,7,55.4285714285714
"Extreme temperature",1993,106,4,26.5
"Extreme temperature",1994,341,9,37.8888888888889
"Extreme temperature",1995,1730,13,133.076923076923
"Extreme temperature",1996,300,5,60
"Extreme temperature",1997,604,13,46.4615384615385
"Extreme temperature",1998,3269,12,272.416666666667
"Extreme temperature",1999,771,8,96.375
"Extreme temperature",2000,941,31,30.3548387096774
"Extreme temperature",2001,1787,23,77.695652173913
"Extreme temperature",2002,3369,15,224.6
"Extreme temperature",2003,74698,25,2987.92
"Extreme temperature",2004,255,16,15.9375
"Extreme temperature",2005,1550,30,51.6666666666667
"Extreme temperature",2006,4826,24,201.083333333333
"Extreme temperature",2007,1086,25,43.44
"Extreme temperature",2008,1688,10,168.8
"Extreme temperature",2009,1386,25,55.44
"Extreme temperature",2010,57188,29,1972
"Extreme temperature",2011,435,16,27.1875
"Extreme temperature",2012,1834,51,35.9607843137255
"Extreme temperature",2013,1821,14,130.071428571429
"Extreme temperature",2014,1168,17,68.7058823529412
"Extreme temperature",2015,7425,12,618.75
"Extreme temperature",2016,490,12,40.8333333333333
"Extreme temperature",2017,133,11,12.0909090909091
"Extreme temperature",2018,536,25,21.44
"Extreme weather",1900,6000,1,6000
"Extreme weather",1902,600,1,600
"Extreme weather",1903,163,2,81.5
"Extreme weather",1905,240,1,240
"Extreme weather",1906,10298,3,3432.66666666667
"Extreme weather",1909,713,5,142.6
"Extreme weather",1910,30,1,30
"Extreme weather",1911,1000,2,500
"Extreme weather",1912,51170,5,10234
"Extreme weather",1913,732,1,732
"Extreme weather",1915,2125,2,1062.5
"Extreme weather",1916,300,1,300
"Extreme weather",1917,4057,2,2028.5
"Extreme weather",1918,34,1,34
"Extreme weather",1919,500,2,250
"Extreme weather",1920,224,1,224
"Extreme weather",1922,100000,2,50000
"Extreme weather",1923,3139,6,523.166666666667
"Extreme weather",1924,2242,2,1121
"Extreme weather",1925,819,3,273
"Extreme weather",1926,3568,7,509.714285714286
"Extreme weather",1927,5772,4,1443
"Extreme weather",1928,4224,7,603.428571428571
"Extreme weather",1930,4082,4,1020.5
"Extreme weather",1931,3200,4,800
"Extreme weather",1932,3244,5,648.8
"Extreme weather",1933,63,3,21
"Extreme weather",1934,5091,4,1272.75
"Extreme weather",1935,62707,7,8958.14285714286
"Extreme weather",1936,3309,5,661.8
"Extreme weather",1937,11231,3,3743.66666666667
"Extreme weather",1938,905,2,452.5
"Extreme weather",1939,3,2,1.5
"Extreme weather",1940,123,3,41
"Extreme weather",1941,5006,2,2503
"Extreme weather",1942,101000,3,33666.6666666667
"Extreme weather",1943,5000,3,1666.66666666667
"Extreme weather",1944,726,5,145.2
"Extreme weather",1945,4415,7,630.714285714286
"Extreme weather",1946,337,5,67.4
"Extreme weather",1947,4738,7,676.857142857143
"Extreme weather",1948,2971,10,297.1
"Extreme weather",1949,2804,8,350.5
"Extreme weather",1950,873,7,124.714285714286
"Extreme weather",1951,2861,11,260.090909090909
"Extreme weather",1952,6277,10,627.7
"Extreme weather",1953,1814,11,164.909090909091
"Extreme weather",1954,2969,10,296.9
"Extreme weather",1955,3895,19,205
"Extreme weather",1956,3114,14,222.428571428571
"Extreme weather",1957,1139,9,126.555555555556
"Extreme weather",1958,2620,13,201.538461538462
"Extreme weather",1959,9695,16,605.9375
"Extreme weather",1960,9164,20,458.2
"Extreme weather",1961,12852,14,918
"Extreme weather",1962,1860,13,143.076923076923
"Extreme weather",1963,29965,21,1426.90476190476
"Extreme weather",1964,10655,22,484.318181818182
"Extreme weather",1965,59932,19,3154.31578947368
"Extreme weather",1966,2327,28,83.1071428571429
"Extreme weather",1967,2255,25,90.2
"Extreme weather",1968,1669,25,66.76
"Extreme weather",1969,3252,25,130.08
"Extreme weather",1970,304495,24,12687.2916666667
"Extreme weather",1971,10811,22,491.409090909091
"Extreme weather",1972,1427,26,54.8846153846154
"Extreme weather",1973,4344,22,197.454545454545
"Extreme weather",1974,11861,28,423.607142857143
"Extreme weather",1975,1041,28,37.1785714285714
"Extreme weather",1976,1763,36,48.9722222222222
"Extreme weather",1977,15298,32,478.0625
"Extreme weather",1978,3676,42,87.5238095238095
"Extreme weather",1979,2623,31,84.6129032258064
"Extreme weather",1980,1379,42,32.8333333333333
"Extreme weather",1981,3790,50,75.8
"Extreme weather",1982,2782,52,53.5
"Extreme weather",1983,3656,59,61.9661016949153
"Extreme weather",1984,5468,57,95.9298245614035
"Extreme weather",1985,17165,51,336.56862745098
"Extreme weather",1986,1939,56,34.625
"Extreme weather",1987,2900,58,50
"Extreme weather",1988,3335,60,55.5833333333333
"Extreme weather",1989,4256,73,58.3013698630137
"Extreme weather",1990,4604,137,33.6058394160584
"Extreme weather",1991,146297,66,2216.62121212121
"Extreme weather",1992,1342,76,17.6578947368421
"Extreme weather",1993,2965,108,27.4537037037037
"Extreme weather",1994,4239,81,52.3333333333333
"Extreme weather",1995,3763,81,46.4567901234568
"Extreme weather",1996,4581,77,59.4935064935065
"Extreme weather",1997,6150,79,77.8481012658228
"Extreme weather",1998,24935,88,283.352272727273
"Extreme weather",1999,12270,106,115.754716981132
"Extreme weather",2000,1354,102,13.2745098039216
"Extreme weather",2001,1911,105,18.2
"Extreme weather",2002,1382,122,11.327868852459
"Extreme weather",2003,1049,86,12.1976744186047
"Extreme weather",2004,6547,124,52.7983870967742
"Extreme weather",2005,5251,130,40.3923076923077
"Extreme weather",2006,4329,76,56.9605263157895
"Extreme weather",2007,6035,105,57.4761904761905
"Extreme weather",2008,140985,111,1270.13513513514
"Extreme weather",2009,3287,87,37.7816091954023
"Extreme weather",2010,1564,94,16.6382978723404
"Extreme weather",2011,3103,84,36.9404761904762
"Extreme weather",2012,3105,90,34.5
"Extreme weather",2013,8603,105,81.9333333333333
"Extreme weather",2014,1424,99,14.3838383838384
"Extreme weather",2015,1270,118,10.7627118644068
"Extreme weather",2016,1760,84,20.952380952381
"Extreme weather",2017,1014,85,11.9294117647059
"Extreme weather",2018,1666,84,19.8333333333333
"Flood",1900,300,1,300
"Flood",1903,250,2,125
"Flood",1906,6,2,3
"Flood",1909,72,1,72
"Flood",1910,1379,1,1379
"Flood",1911,100000,1,1e+05
"Flood",1926,1000,4,250
"Flood",1927,3246,2,1623
"Flood",1928,36,2,18
"Flood",1931,3700000,1,3700000
"Flood",1933,18053,2,9026.5
"Flood",1935,142000,1,142000
"Flood",1936,200,1,200
"Flood",1937,248,2,124
"Flood",1938,954,2,477
"Flood",1939,500010,2,250005
"Flood",1940,125,1,125
"Flood",1943,990,2,495
"Flood",1947,2000,1,2000
"Flood",1948,917,5,183.4
"Flood",1949,97000,2,48500
"Flood",1950,3808,10,380.8
"Flood",1951,5666,7,809.428571428571
"Flood",1952,199,4,49.75
"Flood",1953,7125,12,593.75
"Flood",1954,34436,9,3826.22222222222
"Flood",1955,584,3,194.666666666667
"Flood",1956,3613,9,401.444444444444
"Flood",1957,2471,11,224.636363636364
"Flood",1958,400,3,133.333333333333
"Flood",1959,2003396,13,154107.384615385
"Flood",1960,10577,7,1511
"Flood",1961,3863,8,482.875
"Flood",1962,1180,8,147.5
"Flood",1963,1031,8,128.875
"Flood",1964,1123,22,51.0454545454545
"Flood",1965,1401,19,73.7368421052632
"Flood",1966,1923,23,83.6086956521739
"Flood",1967,2446,26,94.0769230769231
"Flood",1968,7306,20,365.3
"Flood",1969,1544,14,110.285714285714
"Flood",1970,3246,31,104.709677419355
"Flood",1971,2404,15,160.266666666667
"Flood",1972,2548,15,169.866666666667
"Flood",1973,1835,20,91.75
"Flood",1974,29431,19,1549
"Flood",1975,848,17,49.8823529411765
"Flood",1976,960,17,56.4705882352941
"Flood",1977,2568,48,53.5
"Flood",1978,5897,47,125.468085106383
"Flood",1979,1038,34,30.5294117647059
"Flood",1980,10466,39,268.358974358974
"Flood",1981,5283,43,122.860465116279
"Flood",1982,4648,48,96.8333333333333
"Flood",1983,2082,49,42.4897959183673
"Flood",1984,2930,47,62.3404255319149
"Flood",1985,4376,58,75.448275862069
"Flood",1986,1782,50,35.64
"Flood",1987,6766,68,99.5
"Flood",1988,8504,76,111.894736842105
"Flood",1989,4716,46,102.521739130435
"Flood",1990,2251,60,37.5166666666667
"Flood",1991,5852,77,76
"Flood",1992,5315,59,90.0847457627119
"Flood",1993,6150,84,73.2142857142857
"Flood",1994,6771,88,76.9431818181818
"Flood",1995,7956,94,84.6382978723404
"Flood",1996,8047,92,87.4673913043478
"Flood",1997,7685,95,80.8947368421053
"Flood",1998,10653,94,113.329787234043
"Flood",1999,34807,122,285.303278688525
"Flood",2000,6025,157,38.3757961783439
"Flood",2001,5014,157,31.9363057324841
"Flood",2002,4236,172,24.6279069767442
"Flood",2003,3910,158,24.746835443038
"Flood",2004,6982,128,54.546875
"Flood",2005,5754,193,29.8134715025907
"Flood",2006,5843,226,25.853982300885
"Flood",2007,8607,218,39.4816513761468
"Flood",2008,4007,165,24.2848484848485
"Flood",2009,3627,151,24.0198675496689
"Flood",2010,8356,184,45.4130434782609
"Flood",2011,6163,156,39.5064102564103
"Flood",2012,3544,136,26.0588235294118
"Flood",2013,9836,149,66.013422818792
"Flood",2014,3532,135,26.162962962963
"Flood",2015,3495,160,21.84375
"Flood",2016,4720,161,29.3167701863354
"Flood",2017,3086,114,27.0701754385965
"Flood",2018,2869,109,26.3211009174312
"Landslide",1909,53,1,53
"Landslide",1922,100,1,100
"Landslide",1923,200,1,200
"Landslide",1926,128,2,64
"Landslide",1930,40,1,40
"Landslide",1931,190,1,190
"Landslide",1932,30,1,30
"Landslide",1934,500,1,500
"Landslide",1936,73,1,73
"Landslide",1938,200,1,200
"Landslide",1941,5000,1,5000
"Landslide",1948,525,2,262.5
"Landslide",1949,12000,1,12000
"Landslide",1950,130,1,130
"Landslide",1951,92,1,92
"Landslide",1952,28,1,28
"Landslide",1954,1086,8,135.75
"Landslide",1955,478,2,239
"Landslide",1956,236,5,47.2
"Landslide",1958,52,1,52
"Landslide",1959,48,1,48
"Landslide",1960,52,2,26
"Landslide",1961,166,2,83
"Landslide",1962,71,2,35.5
"Landslide",1963,2033,2,1016.5
"Landslide",1964,108,1,108
"Landslide",1965,204,5,40.8
"Landslide",1966,604,4,151
"Landslide",1967,590,2,295
"Landslide",1968,1196,4,299
"Landslide",1969,18,1,18
"Landslide",1970,186,5,37.2
"Landslide",1971,1020,5,204
"Landslide",1972,755,5,151
"Landslide",1973,3541,5,708.2
"Landslide",1974,904,10,90.4
"Landslide",1975,195,5,39
"Landslide",1976,315,6,52.5
"Landslide",1977,40,3,13.3333333333333
"Landslide",1978,86,2,43
"Landslide",1979,338,7,48.2857142857143
"Landslide",1980,300,4,75
"Landslide",1981,421,8,52.625
"Landslide",1982,640,11,58.1818181818182
"Landslide",1983,1159,15,77.2666666666667
"Landslide",1984,228,6,38
"Landslide",1985,377,6,62.8333333333333
"Landslide",1986,501,9,55.6666666666667
"Landslide",1987,1204,13,92.6153846153846
"Landslide",1988,952,15,63.4666666666667
"Landslide",1989,445,15,29.6666666666667
"Landslide",1990,98,4,24.5
"Landslide",1991,728,9,80.8888888888889
"Landslide",1992,712,7,101.714285714286
"Landslide",1993,1418,22,64.4545454545455
"Landslide",1994,307,11,27.9090909090909
"Landslide",1995,1521,16,95.0625
"Landslide",1996,1155,24,48.125
"Landslide",1997,801,13,61.6153846153846
"Landslide",1998,1141,22,51.8636363636364
"Landslide",1999,445,18,24.7222222222222
"Landslide",2000,1012,28,36.1428571428571
"Landslide",2001,786,24,32.75
"Landslide",2002,1100,20,55
"Landslide",2003,706,21,33.6190476190476
"Landslide",2004,313,15,20.8666666666667
"Landslide",2005,664,13,51.0769230769231
"Landslide",2006,1638,20,81.9
"Landslide",2007,271,10,27.1
"Landslide",2008,504,12,42
"Landslide",2009,723,29,24.9310344827586
"Landslide",2010,3427,32,107.09375
"Landslide",2011,309,17,18.1764705882353
"Landslide",2012,501,13,38.5384615384615
"Landslide",2013,235,11,21.3636363636364
"Landslide",2014,943,15,62.8666666666667
"Landslide",2015,1006,20,50.3
"Landslide",2016,361,13,27.7692307692308
"Landslide",2017,2080,25,83.2
"Landslide",2018,275,13,21.1538461538462
"Mass movement (dry)",1903,76,1,76
"Mass movement (dry)",1905,18,1,18
"Mass movement (dry)",1908,33,1,33
"Mass movement (dry)",1910,62,1,62
"Mass movement (dry)",1915,56,1,56
"Mass movement (dry)",1937,40,1,40
"Mass movement (dry)",1955,3,1,3
"Mass movement (dry)",1962,2000,1,2000
"Mass movement (dry)",1963,150,1,150
"Mass movement (dry)",1965,26,1,26
"Mass movement (dry)",1970,42,1,42
"Mass movement (dry)",1971,31,1,31
"Mass movement (dry)",1980,50,1,50
"Mass movement (dry)",1982,59,2,29.5
"Mass movement (dry)",1983,466,4,116.5
"Mass movement (dry)",1985,300,2,150
"Mass movement (dry)",1987,183,2,91.5
"Mass movement (dry)",1988,157,3,52.3333333333333
"Mass movement (dry)",1989,55,3,18.3333333333333
"Mass movement (dry)",1990,116,3,38.6666666666667
"Mass movement (dry)",1991,86,3,28.6666666666667
"Mass movement (dry)",1992,323,5,64.6
"Mass movement (dry)",1993,341,5,68.2
"Mass movement (dry)",2000,11,1,11
"Mass movement (dry)",2002,60,1,60
"Mass movement (dry)",2004,44,1,44
"Mass movement (dry)",2006,11,1,11
"Mass movement (dry)",2008,120,3,40
"Mass movement (dry)",2009,36,1,36
"Mass movement (dry)",2012,16,1,16
"Mass movement (dry)",2013,46,1,46
"Mass movement (dry)",2015,13,1,13
"Mass movement (dry)",2018,17,1,17
"Volcanic activity",1900,30,1,30
"Volcanic activity",1902,38690,5,7738
"Volcanic activity",1903,17,1,17
"Volcanic activity",1906,700,1,700
"Volcanic activity",1909,5500,1,5500
"Volcanic activity",1911,1335,1,1335
"Volcanic activity",1914,140,1,140
"Volcanic activity",1919,5000,1,5000
"Volcanic activity",1926,144,1,144
"Volcanic activity",1929,5000,1,5000
"Volcanic activity",1930,1369,1,1369
"Volcanic activity",1931,1300,1,1300
"Volcanic activity",1937,506,1,506
"Volcanic activity",1944,26,1,26
"Volcanic activity",1948,100,1,100
"Volcanic activity",1949,2000,2,1000
"Volcanic activity",1950,84,1,84
"Volcanic activity",1951,4800,3,1600
"Volcanic activity",1952,29,1,29
"Volcanic activity",1953,150,1,150
"Volcanic activity",1954,37,1,37
"Volcanic activity",1963,1705,3,568.333333333333
"Volcanic activity",1964,4,1,4
"Volcanic activity",1965,355,1,355
"Volcanic activity",1966,1088,2,544
"Volcanic activity",1968,90,2,45
"Volcanic activity",1975,2,3,0.666666666666667
"Volcanic activity",1976,41,5,8.2
"Volcanic activity",1977,215,5,43
"Volcanic activity",1979,268,4,67
"Volcanic activity",1980,90,2,45
"Volcanic activity",1981,192,1,192
"Volcanic activity",1982,130,3,43.3333333333333
"Volcanic activity",1984,37,7,5.28571428571429
"Volcanic activity",1985,21800,2,10900
"Volcanic activity",1986,1746,2,873
"Volcanic activity",1988,7,5,1.4
"Volcanic activity",1990,33,2,16.5
"Volcanic activity",1991,683,10,68.3
"Volcanic activity",1992,1,5,0.2
"Volcanic activity",1993,99,6,16.5
"Volcanic activity",1994,101,6,16.8333333333333
"Volcanic activity",1996,4,5,0.8
"Volcanic activity",1997,53,4,13.25
"Volcanic activity",2002,200,7,28.5714285714286
